CallID,AgentID,AgentName,StartTime,EndTime,WaitTime_sec,CallType,Department,Channel,Resolved,CustomerRating,EscalatedToManager
CALL0023,AGT014,Deepak Shah,2024-01-28 09:03:41,2024-01-28 09:23:08,25,Billing,Sales,Phone,Y,4,N
CALL0024,AGT004,Amit Joshi,2024-01-28 18:57:03,2024-01-28 19:03:40,398,Billing,Technical,Chat,Y,4,N
CALL0025,AGT005,Divya Nair,2024-01-14 21:09:12,2024-01-14 21:20:19,232,Billing,Support,Email,Y,3,N
CALL0026,AGT010,Vijay Rao,2024-01-16 22:58:54,2024-01-16 23:18:01,171,Billing,Support,Phone,N,1,Y
CALL0027,AGT004,Amit Joshi,2024-01-13 09:56:36,2024-01-13 10:06:00,50,Sales,Support,Chat,Y,5,N
CALL0028,AGT009,Neha Gupta,2024-01-11 14:13:42,2024-01-11 14:39:08,331,Technical,Retention,Chat,N,3,N
CALL0029,AGT006,Rohan Desai,2024-01-25 08:00:29,2024-01-25 08:22:41,586,Billing,Support,Email,N,2,N
CALL0030,AGT006,Rohan Desai,2024-01-03 13:23:18,2024-01-03 13:29:41,458,Sales,Retention,Email,Y,5,N
CALL0031,AGT009,Neha Gupta,2024-01-01 15:59:42,2024-01-01 16:04:14,147,Complaint,Support,Phone,Y,3,N
CALL0032,AGT005,Divya Nair,2024-01-10 12:45:21,2024-01-10 12:53:17,280,Sales,Technical,Chat,Y,3,N
CALL0033,AGT002,Rahul Mehta,2024-01-21 19:53:17,2024-01-21 19:55:47,13,Complaint,Sales,Email,Y,3,N
CALL0034,AGT012,Sanjay Tiwari,2024-01-15 19:35:00,2024-01-15 19:39:49,87,Technical,Support,Chat,Y,3,N
CALL0035,AGT007,Pooja Singh,2024-01-05 07:19:23,2024-01-05 07:47:33,50,Complaint,Sales,Email,N,1,N
CALL0036,AGT009,Neha Gupta,2024-01-28 19:39:47,2024-01-28 19:46:03,252,Technical,Sales,Chat,N,3,Y
CALL0037,AGT013,Lakshmi Iyer,2024-01-14 13:17:10,2024-01-14 13:45:02,120,General,Support,Chat,N,2,N
CALL0038,AGT014,Deepak Shah,2024-01-26 13:14:01,2024-01-26 13:37:32,207,General,Retention,Chat,Y,4,N
CALL0039,AGT006,Rohan Desai,2024-01-21 22:25:43,2024-01-21 22:55:30,559,Complaint,Support,Phone,Y,4,N
CALL0040,AGT003,Sneha Patil,2024-01-19 14:02:06,2024-01-19 14:23:27,454,Complaint,Retention,Chat,Y,5,N
CALL0041,AGT002,Rahul Mehta,2024-01-13 12:16:02,2024-01-13 12:41:13,456,Billing,Sales,Chat,Y,5,N
CALL0042,AGT015,Meera Pillai,2024-01-11 16:42:54,2024-01-11 16:48:09,317,Sales,Retention,Email,Y,4,N
CALL0043,AGT012,Sanjay Tiwari,2024-01-10 10:12:26,2024-01-10 10:36:07,398,Technical,Retention,Chat,Y,3,N
CALL0044,AGT005,Divya Nair,2024-01-10 12:27:50,2024-01-10 12:48:37,339,General,Technical,Chat,Y,5,N
CALL0045,AGT008,Kiran Kumar,2024-01-26 11:42:05,2024-01-26 11:52:46,537,Sales,Retention,Phone,Y,3,N
CALL0046,AGT011,Anita Bose,2024-01-10 13:51:12,2024-01-10 13:57:13,35,Billing,Sales,Chat,Y,3,N
CALL0047,AGT008,Kiran Kumar,2024-01-14 12:45:44,2024-01-14 12:59:50,516,General,Sales,Phone,Y,3,N
CALL0048,AGT015,Meera Pillai,2024-01-25 09:49:27,2024-01-25 09:57:55,190,Sales,Technical,Phone,Y,3,N
CALL0049,AGT008,Kiran Kumar,2024-01-05 20:42:33,2024-01-05 21:02:37,334,General,Technical,Email,Y,3,N
CALL0050,AGT012,Sanjay Tiwari,2024-01-28 21:28:16,2024-01-28 21:54:55,263,Complaint,Technical,Email,N,2,N
CALL0051,AGT005,Divya Nair,2024-01-08 14:21:20,2024-01-08 14:40:46,92,Technical,Sales,Phone,Y,3,N
CALL0052,AGT012,Sanjay Tiwari,2024-01-07 08:26:26,2024-01-07 08:38:43,565,General,Technical,Phone,N,2,N
CALL0053,AGT013,Lakshmi Iyer,2024-01-19 06:54:56,2024-01-19 07:22:03,599,General,Technical,Phone,Y,4,N
CALL0054,AGT013,Lakshmi Iyer,2024-01-13 19:34:47,2024-01-13 20:00:51,569,Sales,Sales,Chat,N,2,N
CALL0055,AGT007,Pooja Singh,2024-01-11 18:46:10,2024-01-11 19:15:51,488,Technical,Support,Chat,Y,5,N
CALL0056,AGT001,Priya Sharma,2024-01-03 19:08:55,2024-01-03 19:25:40,196,Billing,Retention,Chat,Y,4,N
CALL0057,AGT006,Rohan Desai,2024-01-11 18:17:48,2024-01-11 18:47:11,441,Complaint,Support,Chat,N,3,N
CALL0058,AGT006,Rohan Desai,2024-01-08 08:49:41,2024-01-08 08:52:03,41,Technical,Sales,Phone,Y,3,N
CALL0059,AGT003,Sneha Patil,2024-01-16 09:36:13,2024-01-16 09:53:05,272,Complaint,Sales,Email,Y,5,N
CALL0060,AGT012,Sanjay Tiwari,2024-01-04 11:19:06,2024-01-04 11:39:51,36,Complaint,Technical,Chat,Y,3,N
CALL0061,AGT002,Rahul Mehta,2024-01-19 13:06:44,2024-01-19 13:34:06,318,Sales,Support,Email,Y,4,N
CALL0062,AGT009,Neha Gupta,2024-01-14 17:04:32,2024-01-14 17:27:38,359,Billing,Technical,Chat,N,2,Y
CALL0063,AGT014,Deepak Shah,2024-01-15 10:27:11,2024-01-15 10:53:13,544,Complaint,Technical,Chat,Y,5,N
CALL0064,AGT010,Vijay Rao,2024-01-09 16:54:15,2024-01-09 17:23:36,98,Complaint,Technical,Phone,Y,5,N
CALL0065,AGT010,Vijay Rao,2024-01-22 18:21:01,2024-01-22 18:38:53,342,Technical,Technical,Phone,Y,4,N
CALL0066,AGT006,Rohan Desai,2024-01-09 14:35:00,2024-01-09 14:53:38,205,Billing,Sales,Email,Y,5,N
CALL0067,AGT013,Lakshmi Iyer,2024-01-08 21:41:45,2024-01-08 21:59:30,468,Billing,Support,Chat,N,3,N
CALL0068,AGT011,Anita Bose,2024-01-19 17:30:35,2024-01-19 17:49:42,362,General,Retention,Chat,Y,4,N
CALL0069,AGT005,Divya Nair,2024-01-09 13:07:46,2024-01-09 13:15:20,333,Billing,Sales,Phone,N,2,N
CALL0070,AGT010,Vijay Rao,2024-01-25 22:38:18,2024-01-25 22:42:43,208,Complaint,Sales,Chat,N,1,Y
CALL0071,AGT003,Sneha Patil,2024-01-09 07:03:35,2024-01-09 07:14:33,139,General,Support,Phone,Y,4,N
CALL0072,AGT008,Kiran Kumar,2024-01-15 16:11:03,2024-01-15 16:20:40,499,Billing,Support,Chat,Y,5,N
CALL0073,AGT011,Anita Bose,2024-01-22 07:09:09,2024-01-22 07:37:50,586,Complaint,Support,Phone,N,2,Y
CALL0074,AGT013,Lakshmi Iyer,2024-01-20 13:49:33,2024-01-20 14:03:32,471,General,Retention,Email,Y,4,N
CALL0075,AGT010,Vijay Rao,2024-01-20 07:39:47,2024-01-20 07:44:10,222,Technical,Retention,Email,N,1,N
CALL0076,AGT002,Rahul Mehta,2024-01-06 06:26:28,2024-01-06 06:50:59,491,Complaint,Support,Phone,Y,4,N
CALL0077,AGT012,Sanjay Tiwari,2024-01-28 20:04:43,2024-01-28 20:13:41,280,Sales,Sales,Chat,N,1,Y
CALL0078,AGT015,Meera Pillai,2024-01-09 10:04:03,2024-01-09 10:10:42,324,Sales,Retention,Chat,N,3,N
CALL0079,AGT007,Pooja Singh,2024-01-09 22:34:31,2024-01-09 22:50:27,92,Sales,Support,Chat,Y,5,N
CALL0080,AGT005,Divya Nair,2024-01-01 08:14:43,2024-01-01 08:44:15,599,Sales,Support,Email,Y,5,N
CALL0081,AGT001,Priya Sharma,2024-01-25 11:30:33,2024-01-25 11:53:47,462,Complaint,Sales,Email,Y,4,N
CALL0082,AGT002,Rahul Mehta,2024-01-16 17:26:21,2024-01-16 17:38:18,117,Technical,Retention,Chat,Y,4,N
CALL0083,AGT011,Anita Bose,2024-01-13 07:29:05,2024-01-13 07:40:49,268,Complaint,Support,Chat,Y,3,N
CALL0084,AGT011,Anita Bose,2024-01-28 20:26:03,2024-01-28 20:33:27,540,Complaint,Technical,Email,Y,3,N
CALL0085,AGT004,Amit Joshi,2024-01-09 10:59:18,2024-01-09 11:15:15,506,Billing,Support,Email,Y,3,N
CALL0086,AGT012,Sanjay Tiwari,2024-01-06 15:35:00,2024-01-06 15:54:51,427,Billing,Sales,Phone,Y,3,N
CALL0087,AGT011,Anita Bose,2024-01-27 10:31:59,2024-01-27 10:57:26,308,Sales,Retention,Chat,Y,4,N
CALL0088,AGT004,Amit Joshi,2024-01-15 10:24:12,2024-01-15 10:45:39,530,Technical,Support,Chat,Y,4,N
CALL0089,AGT006,Rohan Desai,2024-01-26 22:17:52,2024-01-26 22:18:57,299,Complaint,Technical,Phone,Y,4,N
CALL0090,AGT006,Rohan Desai,2024-01-11 18:29:59,2024-01-11 18:41:58,203,Technical,Technical,Phone,Y,4,N
CALL0091,AGT001,Priya Sharma,2024-01-11 21:45:58,2024-01-11 22:14:39,400,General,Sales,Chat,Y,3,N
CALL0092,AGT009,Neha Gupta,2024-01-19 16:55:06,2024-01-19 17:24:56,460,Billing,Technical,Phone,Y,4,N
CALL0093,AGT014,Deepak Shah,2024-01-21 10:04:30,2024-01-21 10:32:10,281,Complaint,Technical,Email,N,2,Y
CALL0094,AGT014,Deepak Shah,2024-01-18 18:20:40,2024-01-18 18:46:11,509,Sales,Support,Email,N,3,Y
CALL0095,AGT005,Divya Nair,2024-01-08 08:27:06,2024-01-08 08:54:03,112,General,Sales,Email,Y,3,N
CALL0096,AGT001,Priya Sharma,2024-01-11 07:18:22,2024-01-11 07:32:09,451,Technical,Sales,Email,Y,5,N
CALL0097,AGT013,Lakshmi Iyer,2024-01-06 11:11:05,2024-01-06 11:32:53,401,Sales,Sales,Chat,Y,3,N
CALL0098,AGT004,Amit Joshi,2024-01-15 14:29:16,2024-01-15 14:53:01,19,General,Retention,Email,Y,3,N
CALL0099,AGT008,Kiran Kumar,2024-01-12 15:40:27,2024-01-12 16:05:00,266,General,Retention,Phone,Y,4,N
CALL0100,AGT002,Rahul Mehta,2024-01-08 18:36:22,2024-01-08 18:56:59,312,Complaint,Support,Email,Y,3,N
CALL0101,AGT010,Vijay Rao,2024-01-28 07:58:38,2024-01-28 08:25:04,518,Complaint,Sales,Email,Y,3,N
CALL0102,AGT011,Anita Bose,2024-01-07 14:43:48,2024-01-07 15:09:24,150,Billing,Support,Chat,Y,3,N
CALL0103,AGT010,Vijay Rao,2024-01-12 10:05:58,2024-01-12 10:17:02,344,General,Sales,Phone,N,3,Y
CALL0104,AGT006,Rohan Desai,2024-01-17 22:58:17,2024-01-17 23:27:37,178,Complaint,Technical,Chat,Y,4,N
CALL0105,AGT013,Lakshmi Iyer,2024-01-04 20:04:09,2024-01-04 20:30:53,241,General,Retention,Phone,Y,3,N
CALL0106,AGT005,Divya Nair,2024-01-18 09:29:23,2024-01-18 09:53:20,278,Sales,Technical,Email,Y,3,N
CALL0107,AGT011,Anita Bose,2024-01-08 21:01:39,2024-01-08 21:21:48,345,Sales,Sales,Email,N,2,Y
CALL0108,AGT005,Divya Nair,2024-01-21 19:07:08,2024-01-21 19:09:40,48,Complaint,Technical,Phone,N,3,N
CALL0109,AGT008,Kiran Kumar,2024-01-12 19:37:47,2024-01-12 20:03:35,168,General,Support,Chat,Y,4,N
CALL0110,AGT001,Priya Sharma,2024-01-23 17:13:28,2024-01-23 17:29:38,251,Complaint,Support,Email,Y,5,N
CALL0111,AGT006,Rohan Desai,2024-01-02 18:17:12,2024-01-02 18:22:22,475,Billing,Sales,Email,Y,3,N
CALL0112,AGT001,Priya Sharma,2024-01-26 16:15:08,2024-01-26 16:42:59,588,Technical,Support,Email,N,1,Y
CALL0113,AGT004,Amit Joshi,2024-01-11 10:50:57,2024-01-11 11:12:17,12,Complaint,Sales,Phone,Y,3,N
CALL0114,AGT002,Rahul Mehta,2024-01-22 06:08:00,2024-01-22 06:21:13,253,Sales,Retention,Phone,N,1,N
CALL0115,AGT007,Pooja Singh,2024-01-17 09:47:04,2024-01-17 10:04:19,469,Complaint,Support,Chat,Y,5,N
CALL0116,AGT001,Priya Sharma,2024-01-24 22:19:29,2024-01-24 22:42:26,41,Billing,Technical,Chat,Y,3,N
CALL0117,AGT008,Kiran Kumar,2024-01-23 20:04:57,2024-01-23 20:08:42,339,Sales,Sales,Phone,N,3,Y
CALL0118,AGT009,Neha Gupta,2024-01-23 16:24:38,2024-01-23 16:43:44,311,General,Technical,Phone,Y,3,N
CALL0119,AGT014,Deepak Shah,2024-01-21 12:27:28,2024-01-21 12:36:15,433,Complaint,Technical,Chat,Y,3,N
CALL0120,AGT006,Rohan Desai,2024-01-14 16:42:16,2024-01-14 16:56:02,166,General,Support,Phone,Y,3,N
CALL0121,AGT007,Pooja Singh,2024-01-04 17:51:08,2024-01-04 18:11:07,71,Sales,Retention,Email,N,2,Y
CALL0122,AGT013,Lakshmi Iyer,2024-01-14 07:18:38,2024-01-14 07:30:17,370,Billing,Sales,Phone,Y,3,N
CALL0123,AGT014,Deepak Shah,2024-01-04 17:54:35,2024-01-04 18:08:07,127,Complaint,Sales,Chat,Y,5,N
CALL0124,AGT010,Vijay Rao,2024-01-22 06:38:59,2024-01-22 07:02:26,283,Billing,Sales,Chat,Y,4,N
CALL0125,AGT015,Meera Pillai,2024-01-11 17:00:11,2024-01-11 17:06:04,589,General,Support,Phone,Y,3,N
CALL0126,AGT002,Rahul Mehta,2024-01-24 22:13:24,2024-01-24 22:28:43,474,Complaint,Sales,Chat,Y,4,N
CALL0127,AGT013,Lakshmi Iyer,2024-01-19 08:56:03,2024-01-19 09:02:21,171,Sales,Support,Email,N,2,Y
CALL0128,AGT008,Kiran Kumar,2024-01-20 20:26:17,2024-01-20 20:34:38,534,Billing,Retention,Chat,N,3,Y
CALL0129,AGT008,Kiran Kumar,2024-01-17 15:02:14,2024-01-17 15:16:43,66,Billing,Sales,Chat,Y,3,N
CALL0130,AGT013,Lakshmi Iyer,2024-01-09 15:20:07,2024-01-09 15:21:22,519,General,Sales,Phone,Y,5,N
CALL0131,AGT004,Amit Joshi,2024-01-17 17:04:25,2024-01-17 17:30:44,53,General,Support,Chat,Y,4,N
CALL0132,AGT010,Vijay Rao,2024-01-14 18:45:40,2024-01-14 19:00:55,306,Billing,Technical,Phone,Y,3,N
CALL0133,AGT013,Lakshmi Iyer,2024-01-20 20:53:44,2024-01-20 21:07:05,100,General,Support,Phone,Y,4,N
CALL0134,AGT009,Neha Gupta,2024-01-03 18:55:19,2024-01-03 19:21:46,357,Technical,Retention,Phone,N,3,N
CALL0135,AGT009,Neha Gupta,2024-01-07 17:22:46,2024-01-07 17:51:43,161,Technical,Support,Phone,Y,3,N
CALL0136,AGT010,Vijay Rao,2024-01-05 08:11:49,2024-01-05 08:34:15,515,General,Technical,Email,Y,5,N
CALL0137,AGT011,Anita Bose,2024-01-21 16:55:40,2024-01-21 17:07:27,164,General,Support,Chat,Y,4,N
CALL0138,AGT013,Lakshmi Iyer,2024-01-09 07:22:32,2024-01-09 07:26:03,327,General,Technical,Phone,N,2,N
CALL0139,AGT014,Deepak Shah,2024-01-28 08:39:38,2024-01-28 08:57:56,403,General,Support,Chat,Y,5,N
CALL0140,AGT011,Anita Bose,2024-01-07 16:38:30,2024-01-07 16:56:36,164,Billing,Technical,Phone,Y,4,N
CALL0141,AGT012,Sanjay Tiwari,2024-01-03 22:41:11,2024-01-03 22:43:31,263,General,Technical,Email,Y,3,N
CALL0142,AGT006,Rohan Desai,2024-01-12 15:24:26,2024-01-12 15:51:52,356,Sales,Support,Email,Y,3,N
CALL0143,AGT006,Rohan Desai,2024-01-04 18:18:16,2024-01-04 18:43:58,163,Complaint,Support,Email,Y,4,N
CALL0144,AGT005,Divya Nair,2024-01-21 18:08:38,2024-01-21 18:33:49,96,Complaint,Technical,Email,Y,3,N
CALL0145,AGT011,Anita Bose,2024-01-23 22:05:41,2024-01-23 22:29:34,443,Sales,Retention,Phone,Y,3,N
CALL0146,AGT004,Amit Joshi,2024-01-11 21:12:14,2024-01-11 21:17:55,168,Billing,Retention,Phone,Y,5,N
CALL0147,AGT014,Deepak Shah,2024-01-24 22:02:42,2024-01-24 22:15:11,144,Sales,Technical,Phone,N,3,Y
CALL0148,AGT013,Lakshmi Iyer,2024-01-06 20:02:26,2024-01-06 20:15:52,253,General,Retention,Email,Y,3,N
CALL0149,AGT009,Neha Gupta,2024-01-08 15:51:50,2024-01-08 16:08:50,208,Complaint,Technical,Chat,Y,4,N
CALL0150,AGT009,Neha Gupta,2024-01-17 19:10:52,2024-01-17 19:18:40,151,Complaint,Support,Email,Y,4,N
CALL0151,AGT009,Neha Gupta,2024-01-04 22:54:07,2024-01-04 23:04:50,95,Technical,Retention,Chat,Y,3,N
CALL0152,AGT014,Deepak Shah,2024-01-14 08:58:14,2024-01-14 09:27:06,471,Complaint,Support,Chat,N,3,N
CALL0153,AGT007,Pooja Singh,2024-01-03 17:14:01,2024-01-03 17:25:53,111,Complaint,Sales,Phone,N,2,Y
CALL0154,AGT003,Sneha Patil,2024-01-25 21:28:39,2024-01-25 21:29:49,91,Billing,Retention,Phone,Y,5,N
CALL0155,AGT012,Sanjay Tiwari,2024-01-20 22:27:07,2024-01-20 22:54:36,305,Technical,Retention,Phone,N,2,Y
CALL0156,AGT010,Vijay Rao,2024-01-15 08:07:53,2024-01-15 08:25:56,558,Billing,Sales,Email,N,2,N
CALL0157,AGT006,Rohan Desai,2024-01-08 19:11:42,2024-01-08 19:35:30,97,Sales,Retention,Phone,Y,5,N
CALL0158,AGT009,Neha Gupta,2024-01-26 22:35:01,2024-01-26 22:49:20,491,Billing,Technical,Chat,Y,3,N
CALL0159,AGT006,Rohan Desai,2024-01-26 08:22:15,2024-01-26 08:48:16,116,Sales,Retention,Phone,N,3,N
CALL0160,AGT011,Anita Bose,2024-01-06 20:44:30,2024-01-06 21:07:03,196,Technical,Support,Email,Y,4,N
CALL0161,AGT001,Priya Sharma,2024-01-10 12:02:50,2024-01-10 12:10:38,52,Complaint,Retention,Email,Y,5,N
CALL0162,AGT008,Kiran Kumar,2024-01-09 07:48:41,2024-01-09 07:56:12,302,Complaint,Support,Email,Y,3,N
CALL0163,AGT013,Lakshmi Iyer,2024-01-12 19:56:25,2024-01-12 20:22:47,460,General,Retention,Phone,Y,4,N
CALL0164,AGT006,Rohan Desai,2024-01-26 22:17:51,2024-01-26 22:21:40,444,Billing,Technical,Email,Y,3,N
CALL0165,AGT009,Neha Gupta,2024-01-10 16:06:05,2024-01-10 16:18:16,312,Complaint,Technical,Email,Y,3,N
CALL0166,AGT012,Sanjay Tiwari,2024-01-15 17:28:02,2024-01-15 17:53:50,371,Sales,Technical,Chat,Y,3,N
CALL0167,AGT002,Rahul Mehta,2024-01-22 18:23:32,2024-01-22 18:51:52,173,Billing,Sales,Email,Y,4,N
CALL0168,AGT001,Priya Sharma,2024-01-05 08:15:49,2024-01-05 08:38:50,385,Complaint,Technical,Email,N,1,Y
CALL0169,AGT006,Rohan Desai,2024-01-12 20:48:04,2024-01-12 21:08:39,150,Sales,Retention,Chat,Y,4,N
CALL0170,AGT004,Amit Joshi,2024-01-04 06:47:11,2024-01-04 07:05:13,540,General,Support,Chat,Y,5,N
CALL0171,AGT008,Kiran Kumar,2024-01-07 15:44:58,2024-01-07 16:02:43,214,Billing,Sales,Phone,Y,5,N
CALL0172,AGT008,Kiran Kumar,2024-01-03 16:42:22,2024-01-03 17:07:35,76,Sales,Retention,Chat,Y,5,N
CALL0173,AGT012,Sanjay Tiwari,2024-01-23 11:50:23,2024-01-23 12:08:44,239,Billing,Sales,Phone,N,2,N
CALL0174,AGT009,Neha Gupta,2024-01-19 17:29:51,2024-01-19 17:49:40,142,Sales,Support,Phone,Y,5,N
CALL0175,AGT012,Sanjay Tiwari,2024-01-16 22:26:49,2024-01-16 22:41:47,598,Billing,Sales,Chat,Y,4,N
CALL0176,AGT008,Kiran Kumar,2024-01-22 22:22:08,2024-01-22 22:51:25,574,Sales,Sales,Phone,Y,3,N
CALL0177,AGT014,Deepak Shah,2024-01-04 22:09:19,2024-01-04 22:15:56,175,Complaint,Sales,Chat,Y,5,N
CALL0178,AGT015,Meera Pillai,2024-01-10 08:16:12,2024-01-10 08:38:52,574,Complaint,Sales,Email,Y,5,N
CALL0179,AGT002,Rahul Mehta,2024-01-17 11:37:37,2024-01-17 11:43:52,185,Sales,Retention,Email,N,1,N
CALL0180,AGT011,Anita Bose,2024-01-25 14:41:13,2024-01-25 15:08:23,595,General,Support,Chat,Y,5,N
CALL0181,AGT005,Divya Nair,2024-01-21 15:30:15,2024-01-21 15:58:43,425,Complaint,Technical,Phone,Y,3,N
CALL0182,AGT008,Kiran Kumar,2024-01-14 21:29:13,2024-01-14 21:41:49,157,Complaint,Retention,Email,Y,4,N
CALL0183,AGT007,Pooja Singh,2024-01-05 17:32:35,2024-01-05 17:37:12,336,Technical,Technical,Phone,Y,3,N
CALL0184,AGT003,Sneha Patil,2024-01-04 07:18:24,2024-01-04 07:40:24,438,Technical,Sales,Chat,Y,5,N
CALL0185,AGT006,Rohan Desai,2024-01-07 11:31:32,2024-01-07 11:48:28,520,Complaint,Technical,Phone,N,2,Y
CALL0186,AGT004,Amit Joshi,2024-01-07 17:03:03,2024-01-07 17:13:39,516,Sales,Technical,Chat,Y,3,N
CALL0187,AGT007,Pooja Singh,2024-01-05 14:46:23,2024-01-05 15:13:27,422,Complaint,Support,Chat,N,3,N
CALL0188,AGT009,Neha Gupta,2024-01-10 08:24:32,2024-01-10 08:40:54,573,Complaint,Support,Phone,Y,4,N
CALL0189,AGT006,Rohan Desai,2024-01-26 16:35:23,2024-01-26 17:02:09,157,Technical,Technical,Email,N,1,N
CALL0190,AGT006,Rohan Desai,2024-01-26 21:33:29,2024-01-26 21:39:34,537,Technical,Retention,Email,Y,4,N
CALL0191,AGT010,Vijay Rao,2024-01-24 15:37:21,2024-01-24 15:55:39,531,Sales,Technical,Email,Y,4,N
CALL0192,AGT014,Deepak Shah,2024-01-01 17:21:43,2024-01-01 17:26:27,436,Sales,Retention,Email,Y,5,N
CALL0193,AGT001,Priya Sharma,2024-01-20 21:16:41,2024-01-20 21:44:24,243,Billing,Technical,Phone,Y,5,N
CALL0194,AGT010,Vijay Rao,2024-01-25 18:09:52,2024-01-25 18:34:06,258,Billing,Support,Phone,N,2,N
CALL0195,AGT007,Pooja Singh,2024-01-23 12:26:32,2024-01-23 12:53:59,492,Billing,Sales,Email,N,2,Y
CALL0196,AGT008,Kiran Kumar,2024-01-17 18:20:11,2024-01-17 18:36:52,555,Complaint,Retention,Email,Y,5,N
CALL0197,AGT011,Anita Bose,2024-01-21 14:39:30,2024-01-21 14:47:03,262,Complaint,Retention,Phone,Y,4,N
CALL0198,AGT013,Lakshmi Iyer,2024-01-10 12:44:45,2024-01-10 13:02:26,334,General,Retention,Email,Y,5,N
CALL0199,AGT005,Divya Nair,2024-01-10 09:36:43,2024-01-10 09:56:15,398,General,Retention,Phone,Y,4,N
CALL0200,AGT012,Sanjay Tiwari,2024-01-03 17:59:28,2024-01-03 18:22:51,272,General,Sales,Phone,Y,4,N
CALL0201,AGT015,Meera Pillai,2024-01-18 14:08:06,2024-01-18 14:30:06,255,Technical,Support,Email,Y,3,N
CALL0202,AGT011,Anita Bose,2024-01-08 07:06:26,2024-01-08 07:18:42,493,Billing,Sales,Phone,Y,3,N
CALL0203,AGT007,Pooja Singh,2024-01-21 21:30:41,2024-01-21 21:38:29,304,Complaint,Retention,Email,N,1,Y
CALL0204,AGT004,Amit Joshi,2024-01-18 07:58:58,2024-01-18 08:05:56,437,Technical,Support,Chat,Y,3,N
CALL0205,AGT015,Meera Pillai,2024-01-24 15:56:02,2024-01-24 15:57:20,315,Sales,Support,Chat,Y,5,N
CALL0206,AGT009,Neha Gupta,2024-01-17 21:56:08,2024-01-17 22:14:20,489,Complaint,Sales,Phone,Y,5,N
CALL0207,AGT008,Kiran Kumar,2024-01-21 14:45:11,2024-01-21 14:46:39,355,Complaint,Sales,Phone,Y,5,N
CALL0208,AGT015,Meera Pillai,2024-01-13 19:32:20,2024-01-13 19:36:17,420,Billing,Sales,Phone,Y,3,N
CALL0209,AGT001,Priya Sharma,2024-01-09 18:15:28,2024-01-09 18:42:11,283,Complaint,Retention,Email,Y,3,N
CALL0210,AGT005,Divya Nair,2024-01-21 17:44:15,2024-01-21 17:47:22,131,General,Retention,Phone,Y,5,N
CALL0211,AGT015,Meera Pillai,2024-01-23 15:44:07,2024-01-23 16:06:55,312,Complaint,Sales,Phone,Y,4,N
